Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2026-05-28,505079.6798220675,-1208.8144872495905,6,14,495672.8897370411
2026-05-29,502796.8787462451,-2282.8010758223827,6,14,493390.0886612187
2026-06-01,501388.9172623205,-1407.9614839245914,6,14,491982.1271772941
2026-06-02,509182.4068367511,7793.489574430569,6,14,499775.6167517247
2026-06-03,511243.6096783113,2061.2028415601817,6,14,501836.81959328486
2026-06-04,511554.5683762159,310.95869790459983,6,14,502147.77829118946
2026-06-05,516633.7954145601,5079.227038344252,6,14,507227.0053295337
2026-06-08,516563.2125364024,-70.58287815772928,6,14,507156.422451376
2026-06-09,515886.5865236043,-676.6260127981077,6,14,506479.7964385779
2026-06-10,512781.464907188,-3105.1216164162615,6,14,503374.6748221616
2026-06-11,513179.1698271424,397.7049199543544,6,14,503772.37974211597
2026-06-12,513867.8505185079,688.6806913655018,6,14,504461.06043348147
2026-06-15,508067.9401394799,-5799.910379028006,6,14,498661.15005445346
2026-06-16,507716.3069887949,-351.6331506849965,6,14,498309.51690376847
2026-06-17,506098.9131446158,-1617.3938441790524,6,14,496692.1230595894
2026-06-18,506899.8041166259,800.8909720100928,6,14,497493.0140315995
2026-06-22,505884.2296137433,-1015.5745028826059,6,14,496477.4395287169
2026-06-23,510161.1764630582,4276.946849314903,6,14,500754.3863780318
